(         Date     estimate     change        upper        lower
1  2018-03-28  1577.065947   2.974182  1597.109950  1554.598201
2  2018-03-29  1579.669256   2.603309  1600.320258  1559.473320
3  2018-03-30  1586.396412   6.727156  1607.967500  1565.486060
5  2018-04-01  1626.513875  40.117463  1646.882292  1605.433054
8  2018-04-04  1602.594174   1.152385  1625.573190  1580.036844
9  2018-04-05  1605.235273   2.641100  1627.478410  1583.869177
10 2018-04-06  1612.338805   7.103532  1635.803143  1590.215894
12 2018-04-08  1650.276017  37.937212  1673.622459  1628.405171
14 2018-04-10  1626.518012   1.672535  1650.993737  1604.468831
15 2018-04-11  1630.966435   4.448423  1656.301886  1606.358443
16 2018-04-12  1636.043334   5.076899  1660.768344  1612.280326
17 2018-04-13  1642.853409   6.810075  1666.749370  1617.837518
19 2018-04-15  1675.316733  32.463324  1703.544002  1648.953025
21 2018-04-17  1651.342573   2.420527  1679.336417  1622.176451
22 2018-04-18  1656.229197   4.886624  1684.324614  1627.644020
23 2018-04-19  1659.631398   3.402201  1690.795910  1631.570440
24 2018-04-20  1663.017303   3.385905  1691.466317  1632.365797
26 2018-04-22  1692.806289  29.788986  1724.086448  1661.937522
28 2018-04-24  1675.505346   6.073694  1708.579732  1640.026019
29 2018-04-25  1682.234509   6.729163  1716.708620  1649.647571
30 2018-04-26  1685.326471   3.091962  1722.333738  1650.887422
31 2018-04-27  1688.259134   2.932663  1726.037201  1649.776045
33 2018-04-29  1723.991234  35.732100  1765.556830  1686.431520
35 2018-05-01  1712.803211   7.780743  1753.946402  1669.425910
36 2018-05-02  1717.511870   4.708658  1763.741277  1672.912263
40 2018-05-06  1750.443006  34.449056  1800.135084  1700.181310
42 2018-05-08  1737.411015   6.318092  1791.741729  1685.925419
43 2018-05-09  1740.772508   3.361493  1799.032919  1685.312672
45 2018-05-11  1742.539943   2.240548  1805.302379  1679.962159
47 2018-05-13  1781.345436  38.805493  1842.643200  1713.363161
49 2018-05-15  1763.484049   3.194325  1835.290599  1690.229672
50 2018-05-16  1764.702058   1.218009  1836.191453  1690.552371
52 2018-05-18  1766.973857   2.869264  1850.009223  1688.259825
54 2018-05-20  1801.732661  34.758804  1885.294620  1714.839340
56 2018-05-22  1777.743308   1.058346  1863.786118  1686.577406
57 2018-05-23  1779.987227   2.243919  1867.600422  1683.406611
58 2018-05-24  1782.294413   2.307186  1878.084849  1687.329889
59 2018-05-25  1787.261805   4.967392  1882.144909  1685.926096
61 2018-05-27  1820.056613  32.794808  1925.285608  1712.742471
